"time_stamp,""humidity"",""temperature"",""topic"""
"2024-12-19 17:18:19.521869000,""1"",""20"",""DHT11"""
"2024-12-19 20:09:34.820036000,""28"",""19"",""DHT11"""
"2024-12-19 17:21:47.562811000,""1"",""19"",""DHT11"""
"2024-12-19 20:06:45.800077000,""5"",""19"",""DHT11"""
"2024-12-19 20:12:18.445878000,""31"",""19"",""DHT11"""
"2024-12-19 17:17:21.158489000,""37"",""20"",""DHT11"""
"2024-12-19 17:32:27.288990000,""35"",""20"",""DHT11"""
"2024-12-19 17:28:18.068179000,""35"",""20"",""DHT11"""
"2024-12-19 17:17:15.464660000,""37"",""20"",""DHT11"""
"2024-12-19 17:17:37.726719000,""35"",""20"",""DHT11"""
"2024-12-19 20:19:31.406057000,""33"",""20"",""DHT11"""
"2024-12-19 17:25:08.066013000,""3"",""20"",""DHT11"""
"2024-12-19 20:08:52.625128000,""7"",""19"",""DHT11"""
"2024-12-19 20:19:01.398167000,""3"",""20"",""DHT11"""
"2024-12-19 20:02:53.375711000,""4"",""19"",""DHT11"""
"2024-12-19 20:15:33.208474000,""31"",""19"",""DHT11"""
"2024-12-19 20:00:42.600501000,""1"",""19"",""DHT11"""
"2024-12-19 20:19:40.526710000,""34"",""20"",""DHT11"""
"2024-12-19 17:32:14.130105000,""33"",""20"",""DHT11"""
"2024-12-19 17:32:37.550952000,""35"",""20"",""DHT11"""
"2024-12-19 17:17:28.371371000,""1"",""20"",""DHT11"""
"2024-12-19 20:19:21.528996000,""33"",""20"",""DHT11"""
"2024-12-19 17:35:42.138368000,""37"",""19"",""DHT11"""
"2024-12-19 17:11:48.990590000,""1"",""19"",""DHT11"""
"2024-12-19 17:31:41.093940000,""33"",""20"",""DHT11"""
"2024-12-19 20:02:53.754034000,""3"",""19"",""DHT11"""
"2024-12-19 20:06:19.613772000,""34"",""19"",""DHT11"""
"2024-12-19 17:07:22.022386000,""1"",""19"",""DHT11"""
"2024-12-19 20:02:15.458674000,""1"",""19"",""DHT11"""
"2024-12-19 20:08:42.996249000,""28"",""19"",""DHT11"""
"2024-12-19 17:31:01.510040000,""1"",""20"",""DHT11"""
"2024-12-19 00:47:05.875278000,""23"",""20"",""DHT11"""
"2024-12-19 17:29:16.124237000,""1"",""20"",""DHT11"""
"2024-12-19 00:45:35.971187000,""15"",""19"",""DHT11"""
"2024-12-19 17:11:40.416782000,""37"",""19"",""DHT11"""
"2024-12-19 17:24:12.527977000,""2"",""20"",""DHT11"""
"2024-12-19 17:34:56.834887000,""33"",""20"",""DHT11"""
"2024-12-19 20:08:21.883548000,""31"",""19"",""DHT11"""
"2024-12-19 17:15:38.906869000,""35"",""20"",""DHT11"""
"2024-12-19 20:05:00.236617000,""31"",""19"",""DHT11"""
"2024-12-19 17:17:31.408775000,""1"",""20"",""DHT11"""
"2024-12-19 20:04:59.856075000,""37"",""19"",""DHT11"""
"2024-12-19 20:08:40.856274000,""26"",""19"",""DHT11"""
"2024-12-19 17:17:08.258844000,""1"",""20"",""DHT11"""
"2024-12-19 20:23:50.120303000,""27"",""19"",""DHT11"""
"2024-12-19 17:29:24.327370000,""6"",""20"",""DHT11"""
"2024-12-19 20:12:23.380163000,""31"",""19"",""DHT11"""
"2024-12-19 17:34:56.456646000,""3"",""20"",""DHT11"""
"2024-12-19 17:11:21.464861000,""6"",""19"",""DHT11"""
"2024-12-19 20:25:47.104876000,""31"",""19"",""DHT11"""
"2024-12-19 20:15:25.234012000,""32"",""20"",""DHT11"""
"2024-12-19 17:25:00.118941000,""5"",""20"",""DHT11"""
"2024-12-19 17:28:55.526130000,""37"",""20"",""DHT11"""
"2024-12-19 20:16:32.986773000,""28"",""20"",""DHT11"""
"2024-12-19 20:06:28.960499000,""33"",""19"",""DHT11"""
"2024-12-19 17:26:30.652627000,""34"",""20"",""DHT11"""
"2024-12-19 20:08:05.206094000,""33"",""19"",""DHT11"""
"2024-12-19 17:07:35.522587000,""3"",""19"",""DHT11"""
"2024-12-19 17:33:44.077396000,""34"",""20"",""DHT11"""
"2024-12-19 17:16:10.813090000,""37"",""20"",""DHT11"""
"2024-12-19 20:01:54.604724000,""37"",""19"",""DHT11"""
"2024-12-19 17:34:46.606992000,""35"",""20"",""DHT11"""
"2024-12-19 17:33:12.811275000,""1"",""20"",""DHT11"""
"2024-12-19 17:13:16.346570000,""37"",""19"",""DHT11"""
"2024-12-19 20:17:25.150506000,""31"",""20"",""DHT11"""
"2024-12-19 20:16:41.853253000,""6"",""20"",""DHT11"""
"2024-12-19 20:16:56.659896000,""27"",""20"",""DHT11"""
"2024-12-19 20:12:22.621347000,""33"",""19"",""DHT11"""
"2024-12-19 17:30:29.263969000,""34"",""20"",""DHT11"""
"2024-12-19 17:24:41.776383000,""5"",""20"",""DHT11"""
"2024-12-19 00:47:48.150167000,""23"",""20"",""DHT11"""
"2024-12-19 17:15:26.763980000,""7"",""20"",""DHT11"""
"2024-12-19 20:13:10.448936000,""32"",""19"",""DHT11"""
"2024-12-19 17:35:40.480719000,""33"",""20"",""DHT11"""
"2024-12-19 20:05:52.679305000,""33"",""19"",""DHT11"""
"2024-12-19 20:04:24.096064000,""7"",""19"",""DHT11"""
"2024-12-19 17:27:29.809693000,""5"",""20"",""DHT11"""
"2024-12-19 17:30:23.573164000,""34"",""20"",""DHT11"""
"2024-12-19 20:03:15.402428000,""5"",""19"",""DHT11"""
"2024-12-19 20:01:42.462012000,""1"",""19"",""DHT11"""
"2024-12-19 20:21:48.461545000,""31"",""19"",""DHT11"""
"2024-12-19 20:18:21.923710000,""27"",""19"",""DHT11"""
"2024-12-19 20:06:37.070376000,""33"",""19"",""DHT11"""
"2024-12-19 17:35:22.008268000,""32"",""19"",""DHT11"""
"2024-12-19 20:21:53.386863000,""28"",""19"",""DHT11"""
"2024-12-19 20:11:17.939002000,""35"",""19"",""DHT11"""
"2024-12-19 17:26:38.013167000,""5"",""20"",""DHT11"""
"2024-12-19 17:32:23.870184000,""6"",""20"",""DHT11"""
"2024-12-19 17:23:46.729082000,""34"",""20"",""DHT11"""
"2024-12-19 20:24:33.623018000,""28"",""19"",""DHT11"""
"2024-12-19 20:25:50.754490000,""32"",""19"",""DHT11"""
"2024-12-19 17:34:28.769454000,""33"",""20"",""DHT11"""
"2024-12-19 17:28:27.807972000,""1"",""20"",""DHT11"""
"2024-12-19 17:30:00.782256000,""35"",""20"",""DHT11"""
"2024-12-19 20:17:21.353556000,""31"",""20"",""DHT11"""
"2024-12-19 00:46:11.393514000,""23"",""20"",""DHT11"""
"2024-12-19 20:07:37.097828000,""31"",""19"",""DHT11"""
"2024-12-19 20:14:23.961706000,""33"",""19"",""DHT11"""
"2024-12-19 17:21:44.529978000,""1"",""19"",""DHT11"""
"2024-12-19 20:20:01.375186000,""34"",""20"",""DHT11"""
"2024-12-19 17:14:26.224018000,""35"",""20"",""DHT11"""
"2024-12-19 20:22:28.288657000,""33"",""19"",""DHT11"""
"2024-12-19 20:05:43.171386000,""35"",""19"",""DHT11"""
"2024-12-19 20:24:16.920947000,""27"",""19"",""DHT11"""
"2024-12-19 20:16:54.001747000,""32"",""20"",""DHT11"""
"2024-12-19 20:24:48.440091000,""28"",""19"",""DHT11"""
"2024-12-19 17:26:57.990088000,""35"",""20"",""DHT11"""
"2024-12-19 20:04:08.592580000,""34"",""19"",""DHT11"""
"2024-12-19 00:48:03.346037000,""34"",""20"",""DHT11"""
"2024-12-19 20:25:01.740732000,""31"",""19"",""DHT11"""
"2024-12-19 20:20:13.499531000,""5"",""20"",""DHT11"""
"2024-12-19 20:21:44.050457000,""27"",""19"",""DHT11"""
"2024-12-19 00:47:52.948424000,""23"",""20"",""DHT11"""
"2024-12-19 20:07:34.054253000,""32"",""19"",""DHT11"""
"2024-12-19 17:16:38.558975000,""37"",""20"",""DHT11"""
"2024-12-19 17:12:43.006216000,""37"",""19"",""DHT11"""
"2024-12-19 17:15:18.174189000,""37"",""20"",""DHT11"""
"2024-12-19 17:13:22.420286000,""1"",""19"",""DHT11"""
"2024-12-19 20:20:58.665153000,""32"",""20"",""DHT11"""
"2024-12-19 20:21:55.041224000,""33"",""19"",""DHT11"""
"2024-12-19 20:06:11.272800000,""34"",""19"",""DHT11"""
"2024-12-19 17:29:56.602372000,""7"",""20"",""DHT11"""
"2024-12-19 17:31:25.157272000,""3"",""20"",""DHT11"""
"2024-12-19 17:27:37.304609000,""1"",""20"",""DHT11"""
"2024-12-19 00:47:22.708912000,""23"",""20"",""DHT11"""
"2024-12-19 17:25:23.470740000,""34"",""20"",""DHT11"""
"2024-12-19 20:22:26.149709000,""27"",""19"",""DHT11"""
"2024-12-19 20:24:42.739058000,""28"",""19"",""DHT11"""
"2024-12-19 20:25:58.717944000,""32"",""19"",""DHT11"""
"2024-12-19 20:24:28.069586000,""33"",""19"",""DHT11"""
"2024-12-19 17:33:22.055265000,""3"",""20"",""DHT11"""
"2024-12-19 20:03:40.099539000,""34"",""19"",""DHT11"""
"2024-12-19 17:32:10.954301000,""32"",""20"",""DHT11"""
"2024-12-19 00:45:29.662337000,""20"",""19"",""DHT11"""
"2024-12-19 17:11:35.731334000,""37"",""19"",""DHT11"""
"2024-12-19 17:22:22.539878000,""3"",""20"",""DHT11"""
"2024-12-19 17:07:36.660460000,""1"",""19"",""DHT11"""
"2024-12-19 17:31:45.510564000,""37"",""20"",""DHT11"""
"2024-12-19 17:33:03.706927000,""1"",""20"",""DHT11"""
"2024-12-19 17:33:41.658367000,""37"",""20"",""DHT11"""
"2024-12-19 20:19:50.773414000,""2"",""20"",""DHT11"""
"2024-12-19 17:24:27.090411000,""37"",""20"",""DHT11"""
"2024-12-19 20:24:33.243641000,""32"",""19"",""DHT11"""
"2024-12-19 17:34:20.405416000,""34"",""20"",""DHT11"""
"2024-12-19 17:14:30.646041000,""37"",""20"",""DHT11"""
"2024-12-19 20:19:03.676011000,""33"",""20"",""DHT11"""
"2024-12-19 17:28:10.087442000,""1"",""20"",""DHT11"""
"2024-12-19 17:17:40.142653000,""37"",""20"",""DHT11"""
"2024-12-19 20:03:15.780854000,""6"",""19"",""DHT11"""
"2024-12-19 17:35:16.554530000,""33"",""19"",""DHT11"""
"2024-12-19 17:35:31.744862000,""37"",""19"",""DHT11"""
"2024-12-19 17:14:47.720721000,""37"",""20"",""DHT11"""
"2024-12-19 20:13:02.091053000,""37"",""19"",""DHT11"""
"2024-12-19 20:14:04.989687000,""28"",""19"",""DHT11"""
"2024-12-19 20:05:56.103708000,""33"",""19"",""DHT11"""
"2024-12-19 17:30:53.559741000,""1"",""20"",""DHT11"""
"2024-12-19 17:13:24.559072000,""37"",""19"",""DHT11"""
"2024-12-19 00:46:54.886333000,""23"",""20"",""DHT11"""
"2024-12-19 20:19:44.704448000,""33"",""20"",""DHT11"""
"2024-12-19 17:31:37.539238000,""3"",""20"",""DHT11"""
"2024-12-19 17:07:24.536609000,""1"",""19"",""DHT11"""
"2024-12-19 17:15:58.032477000,""1"",""20"",""DHT11"""
"2024-12-19 20:09:48.883430000,""31"",""20"",""DHT11"""
"2024-12-19 17:25:34.223253000,""34"",""20"",""DHT11"""
"2024-12-19 20:03:44.279485000,""33"",""19"",""DHT11"""
"2024-12-19 00:45:15.882960000,""23"",""19"",""DHT11"""
"2024-12-19 20:11:26.444756000,""28"",""19"",""DHT11"""
"2024-12-19 20:16:44.887566000,""33"",""20"",""DHT11"""
"2024-12-19 17:31:35.262319000,""37"",""20"",""DHT11"""
"2024-12-19 17:31:36.779666000,""37"",""20"",""DHT11"""
"2024-12-19 20:02:47.925604000,""33"",""19"",""DHT11"""
"2024-12-19 00:45:40.903386000,""23"",""19"",""DHT11"""
"2024-12-19 17:07:35.144341000,""1"",""19"",""DHT11"""
"2024-12-19 17:23:59.006595000,""5"",""20"",""DHT11"""
"2024-12-19 00:45:19.429778000,""15"",""19"",""DHT11"""
"2024-12-19 20:09:21.508049000,""28"",""19"",""DHT11"""
"2024-12-19 00:45:12.849364000,""23"",""19"",""DHT11"""
"2024-12-19 17:30:52.803259000,""37"",""20"",""DHT11"""
"2024-12-19 20:19:59.481434000,""32"",""20"",""DHT11"""
"2024-12-19 20:21:50.356994000,""27"",""19"",""DHT11"""
"2024-12-19 17:32:43.625023000,""33"",""20"",""DHT11"""
"2024-12-19 20:22:42.097985000,""27"",""19"",""DHT11"""
"2024-12-19 20:17:26.671330000,""32"",""20"",""DHT11"""
"2024-12-19 20:20:01.753405000,""32"",""20"",""DHT11"""
"2024-12-19 17:22:15.335176000,""2"",""20"",""DHT11"""
"2024-12-19 20:08:19.227331000,""31"",""19"",""DHT11"""
"2024-12-19 20:20:22.605240000,""32"",""20"",""DHT11"""
"2024-12-19 20:17:35.787501000,""5"",""20"",""DHT11"""
"2024-12-19 20:22:01.105462000,""31"",""19"",""DHT11"""
"2024-12-19 20:14:37.392165000,""33"",""19"",""DHT11"""
"2024-12-19 20:25:41.667979000,""28"",""19"",""DHT11"""
"2024-12-19 17:16:08.531372000,""37"",""20"",""DHT11"""
"2024-12-19 17:23:00.476022000,""1"",""20"",""DHT11"""
"2024-12-19 17:07:21.886330000,""2"",""19"",""DHT11"""
"2024-12-19 17:27:17.312416000,""6"",""20"",""DHT11"""
"2024-12-19 17:23:24.107548000,""35"",""20"",""DHT11"""
"2024-12-19 20:10:45.018414000,""33"",""19"",""DHT11"""
"2024-12-19 17:28:24.146049000,""37"",""20"",""DHT11"""
"2024-12-19 00:46:07.837519000,""20"",""19"",""DHT11"""
"2024-12-19 17:17:12.050120000,""33"",""20"",""DHT11"""
"2024-12-19 17:13:07.239615000,""37"",""19"",""DHT11"""
"2024-12-19 17:16:40.208966000,""37"",""20"",""DHT11"""
"2024-12-19 20:20:27.539598000,""32"",""20"",""DHT11"""
"2024-12-19 17:13:13.930199000,""34"",""19"",""DHT11"""
"2024-12-19 17:31:08.092678000,""37"",""20"",""DHT11"""
